,PrecioActual,metros,habitaciones,ascensor,localizacion,plantaN,zona_id,tipo_inmueble_id
247,1950000,198,4.0,1,1,12.0,17,5
248,156000,54,3.0,0,1,0.0,4,5
249,1183000,147,3.0,1,1,5.0,5,6
250,960000,180,5.0,1,1,1.0,7,5
251,1380000,133,3.0,1,1,1.0,3,5
252,530000,40,1.0,1,1,3.0,3,5
253,326000,60,3.0,1,1,0.0,1,5
254,298000,78,3.0,1,1,3.0,4,5
255,635000,124,3.0,1,1,5.0,12,5
256,380000,76,2.0,1,1,1.0,19,5
257,898000,127,2.0,1,1,6.0,1,5
258,995000,80,1.0,1,1,6.0,7,6
259,214500,62,3.0,0,0,2.0,18,5
260,790000,100,4.0,1,1,2.0,7,5
261,1850000,262,4.0,1,1,9.0,7,5
262,430000,90,3.0,1,1,3.0,15,5
263,459000,83,1.0,1,1,4.0,5,6
264,1540000,206,2.0,1,1,0.0,6,3
265,315000,52,1.0,1,0,0.0,1,5
266,178000,82,3.0,0,1,2.0,4,5
267,595000,70,2.0,0,1,1.0,5,5
268,290000,63,1.0,1,1,5.0,16,5
269,700000,115,4.0,1,1,3.0,6,5
270,170000,48,1.0,0,1,0.0,18,5
271,3750000,238,4.0,1,1,1.0,3,5
272,750000,107,2.0,0,1,0.0,5,5
273,426000,156,4.0,1,1,1.0,16,5
274,1350000,115,3.0,1,1,0.5,3,5
275,675000,115,2.0,1,1,7.0,6,6
276,209000,40,2.0,0,1,0.0,17,5
277,139000,37,1.0,0,0,1.0,4,5
278,164900,33,2.0,0,0,3.0,5,5
279,275000,69,3.0,0,1,2.0,10,5
281,4390000,440,5.0,0,1,1.0,3,5
282,820000,203,3.0,1,1,4.0,10,5
283,3980000,550,6.0,0,1,0.0,6,1
284,2200000,510,5.0,0,1,0.0,12,1
285,1789000,152,2.0,1,0,2.0,3,5
286,590000,83,2.0,1,0,5.0,6,5
287,599900,80,1.0,1,1,0.5,7,5
288,180000,40,1.0,1,1,0.0,9,3
289,439000,60,1.0,1,1,4.0,10,5
290,5000000,400,5.0,1,1,4.0,3,5
291,112000,67,1.0,0,1,3.0,4,5
292,505000,407,4.0,0,1,0.0,4,5
293,550000,149,5.0,0,1,2.0,5,5
294,790000,114,4.0,1,1,1.0,5,5
295,540000,126,3.0,1,1,1.0,6,5
296,595000,100,2.0,1,1,11.0,8,6
297,2300000,348,5.0,0,1,0.0,10,2
298,822000,110,2.0,1,1,0.0,8,5
299,519000,106,2.0,1,1,12.0,10,5
300,255000,76,3.0,0,1,1.0,11,5
301,435000,40,1.0,1,1,3.0,5,5
302,205000,37,1.0,0,0,1.0,5,5
303,2409000,209,3.0,1,0,4.0,3,5
304,550000,117,3.0,1,1,1.0,10,5
305,2500000,500,5.0,0,1,0.0,10,2
306,770000,113,4.0,1,1,5.0,3,6
307,1300000,150,3.0,1,1,6.0,3,6
308,1400000,161,4.0,1,1,1.0,3,5
309,1200000,133,3.0,1,0,1.0,3,5
310,1299000,166,3.0,1,1,6.0,15,6
311,4100000,195,3.0,1,1,7.0,15,5
312,1300000,410,6.0,0,1,0.0,12,2
313,210000,38,1.0,0,1,0.0,7,5
314,700000,121,4.0,1,1,5.0,9,5
315,370000,38,2.0,0,1,3.0,5,5
316,155000,59,2.0,1,1,0.0,14,5
317,167700,89,3.0,1,1,9.0,20,5
318,590000,178,3.0,0,1,0.0,11,5
319,530000,86,3.0,1,1,3.0,17,3
320,660000,81,2.0,1,1,6.0,5,5
321,528700,71,1.0,1,1,2.0,10,5
322,2700000,630,8.0,0,1,0.0,6,2
323,779000,176,3.0,1,1,3.0,5,5
324,845000,70,2.0,0,0,1.0,3,5
325,925000,107,3.0,1,1,2.0,12,5
326,397000,62,1.0,0,1,0.0,11,5
327,379000,91,3.0,1,1,4.0,13,5
328,225000,54,2.0,1,1,2.0,18,5
330,320000,95,2.0,1,1,0.0,4,5
331,275000,80,2.0,1,0,-1.0,15,5
332,890000,65,1.0,1,1,6.0,3,5
333,275000,122,3.0,0,1,1.0,14,5
334,1999000,191,3.0,1,1,0.0,3,5
335,1590000,166,4.0,1,1,5.0,3,5
336,3650000,277,4.0,1,1,2.0,3,5
337,289000,50,2.0,1,1,0.0,17,5
338,1150000,110,2.0,1,1,5.0,5,6
339,1250000,153,5.0,1,1,6.0,6,5
343,839000,102,2.0,1,1,8.0,5,5
344,1950000,209,4.0,1,1,12.0,17,5
345,359000,110,4.0,1,1,1.0,13,5
346,605000,164,4.0,1,1,2.0,15,3
347,220000,47,1.0,1,1,0.0,17,5
348,70250,57,3.0,0,1,2.0,21,5
349,1700000,212,3.0,1,1,4.0,5,5
350,135000,65,2.0,0,1,5.0,18,5
351,265000,69,3.0,0,1,4.0,14,5
352,785900,107,3.0,1,1,1.0,6,5
353,205000,32,1.0,0,0,0.0,3,5
354,175000,62,2.0,0,1,0.0,13,5
355,549000,71,1.0,1,1,4.0,5,6
356,340000,45,2.0,0,0,1.0,5,5
357,235000,87,1.0,1,1,4.0,20,5
358,83000,50,2.0,0,1,1.0,21,5
359,1820000,314,5.0,1,1,2.0,6,5
360,1650000,230,4.0,1,1,1.0,6,5
361,290000,103,3.0,0,1,3.0,9,5
362,280000,85,3.0,1,1,3.0,14,5
363,720000,139,2.0,1,1,2.0,12,5
364,850000,68,1.0,1,0,2.0,6,5
365,1000000,124,3.0,1,1,4.0,3,5
366,1845000,527,5.0,0,1,0.0,9,1
367,245000,100,3.0,1,1,2.0,14,5
368,230000,75,2.0,0,1,4.0,10,5
370,440200,112,3.0,1,1,1.0,11,5
371,1530000,175,3.0,1,0,2.0,3,5
372,2100000,280,4.0,1,1,2.0,6,5
373,478100,102,3.0,1,1,1.0,20,5
374,460000,159,4.0,1,1,2.0,20,5
375,160000,45,1.0,1,1,0.0,4,5
376,2100000,90,4.0,1,1,3.0,5,5
377,1164900,180,4.0,1,1,1.0,7,5
378,650000,75,2.0,1,1,5.0,7,5
379,1095000,86,2.0,1,1,5.0,3,6
380,274990,57,2.0,1,0,1.0,1,5
381,268900,74,2.0,1,1,-1.0,5,5
382,2990000,320,4.0,1,1,4.0,6,6
383,790000,96,1.0,0,1,2.0,6,5
384,495000,87,2.0,1,0,5.0,5,5
385,2259000,197,3.0,1,1,3.0,3,5
386,395000,50,2.0,1,0,0.0,3,5
387,214900,52,2.0,0,1,2.0,17,5
388,410000,81,3.0,1,1,-1.0,3,5
389,1500000,120,2.0,1,0,3.0,3,5
391,663000,146,4.0,1,1,3.0,8,5
392,1275000,106,3.0,1,1,1.0,3,5
393,1679000,133,2.0,1,1,4.0,15,5
394,248000,37,1.0,1,0,2.0,5,5
395,190000,55,1.0,1,1,4.0,16,5
